# Version,,,,,,,,,,,,,,,,,,,,,,
MajorVersion, MinorVersion,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Detector Count (1),,,,,,,,,,,,,,,,,,,,,,
DetectorCount,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Detector Parameters (7),,,,,,,,,,,,,,,,,,,,,,
DetectorIndex, DetectorPageCount, DetectorCellXSize, DetectorCellYSize, DetectorNormalizer, DarkFieldPageCount, FlatFieldPageCount,,,,,,,,,,,,,,,,
0,360,0.18,0.18,4.00E-05,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Page Parameters (23),,,,,,,,,,,,,,,,,,,,,,
PageIndex, SourceLocationX, SourceLocationY, SourceLocationZ, SourceEulerAngle0, SourceEulerAngle1, SourceEulerAngle2, SourceEulerSequence, DetectorLocationX, DetectorLocationY, DetectorLocationZ, DetectorEulerAngle0, DetectorEulerAngle1, DetectorEulerAngle2, DetectorEulerSequence, ObjectLocationX, ObjectLocationY, ObjectLocationZ, ObjectEulerAngle0, ObjectEulerAngle1, ObjectEulerAngle2, ObjectEulerSequence, FilteringAngle
84,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.133333,0,10,336,0,0, EEulerSequence_Extrinsic_XYZ,88.18
85,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.111111,0,10,340,0,0, EEulerSequence_Extrinsic_XYZ,88.18
86,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.088889,0,10,344,0,0, EEulerSequence_Extrinsic_XYZ,88.18
87,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.066667,0,10,348,0,0, EEulerSequence_Extrinsic_XYZ,88.18
88,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.044445,0,10,352,0,0, EEulerSequence_Extrinsic_XYZ,88.18
89,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.022222,0,10,356,0,0, EEulerSequence_Extrinsic_XYZ,88.18
90,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2,0,10,360,0,0, EEulerSequence_Extrinsic_XYZ,88.18
91,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-1.977778,0,10,364,0,0, EEulerSequence_Extrinsic_XYZ,88.18
92,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-1.955556,0,10,368,0,0, EEulerSequence_Extrinsic_XYZ,88.18
93,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-1.933333,0,10,372,0,0, EEulerSequence_Extrinsic_XYZ,88.18
94,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-1.911111,0,10,376,0,0, EEulerSequence_Extrinsic_XYZ,88.18
95,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-1.888889,0,10,380,0,0, EEulerSequence_Extrinsic_XYZ,88.18
96,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-1.866667,0,10,384,0,0, EEulerSequence_Extrinsic_XYZ,88.18
97,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-1.844444,0,10,388,0,0, EEulerSequence_Extrinsic_XYZ,88.18
98,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-1.822222,0,10,392,0,0, EEulerSequence_Extrinsic_XYZ,88.18
99,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-1.8,0,10,396,0,0, EEulerSequence_Extrinsic_XYZ,88.18
100,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-1.777778,0,10,400,0,0, EEulerSequence_Extrinsic_XYZ,88.18
101,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-1.755556,0,10,404,0,0, EEulerSequence_Extrinsic_XYZ,88.18
102,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-1.733333,0,10,408,0,0, EEulerSequence_Extrinsic_XYZ,88.18
103,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-1.711111,0,10,412,0,0, EEulerSequence_Extrinsic_XYZ,88.18
